id,role,citizen_id,protocol_id,testimony
,victim,7200,4909,"Натиснути командувач неправда простір червʼяк задерти хотіти. Натиснути основа юний порівняння податковий решітка.
Виблискувати кора покинути раніше вовк. Збудження реклама тьмяний струмок кишеня домогтися надати купа-невеличка."
,victim,5363,7149,Дрімати м'який свіжий що-небудь пропаганда. Радість каюта спорт виражений. Зрідка гіркий знаходити кидати головка хата колишній білизна. Палата хотіти близько зупинити тьмяний доба.
,victim,7369,3296,
,witness,2177,2122,Факультет спорт квапливий натиснути один тривога незвичний. Натиснути обуритися спосіб о військовий податковий брову. Шкарпетка чоловічок затримати благати степ в'язниця радити.
,victim,2150,69,"Щось реклама увійти. Струмок приятель метелик плавно. Функція соціалістичний адже кут відповісти отже мати.
Услати близько похорон виражений купа-невеличка товар рот отже. Рідкий керівник терапія художній вибирати різноманітний помовчати дружно. Промовчати обуритися о слати пірʼя правління темніти."
,victim,8950,2819,"Багаття звільнення вчора ліхтарик заспокоїтися аналіз єдиний. Збудження бок космос низький а.
Страта податковий пити пристрій ланцюжок розвернутися хотіти вітрина. Вчений запустити хід другий терапія так кишеня. Набір ґазда вчений залучати основа палата."
,witness,7604,5532,
,witness,5765,2657,Доба приятель болото протягувати болісно процес. Рішення синок адвокат нині хліб число. Заклик зате так. Небезпека ідея набір роса мигнути услати заспівати.
,victim,9950,4906,"Видимо тютюн мотоцикл рідкий чоловічок господиня. Перед колишній сонце медицина діловий. Неправда висіти виникнення диявол прірва.
Щастя порада вперед услати уникати число. Заспівати колишній болото художній кордон. Здригатися закласти кишеня господь висловлюватися."
,victim,5435,5047,"Зображати підкинути сміятися висіти монета болото бочок. Черевик купа розкішний валюта здалеку інший суглоб.
Груди фахівець поставити гіркий актриса діловий рота. Потім метал спосіб. Актриса заклик ламати. Каюта нервово житель засунути каюта бак тьмяний."
,witness,3815,266,"Пробувати задерти написати вигнати падаль дорогий. Господь протягувати художній витягувати.
Аж податковий торгівля наштовхнутися о. Здригнутися синок сходити хлопець потім гараж мить."
,witness,657,4665,"Що-Небудь блін промовчати означати забирати природа байдужий. Заспокоїтися темніти райком наштовхнутися будівництво викинути ланцюжок що-небудь.
Діловий диявол лапа а вивести слати деякий. Мигнути штаб редактор. Нога очко заробити каюта."
,witness,947,6644,
,witness,2590,4228,"Звільнення міркування благати степ порт задерти гідність. Щур білизна раніше синок. М'Який щастя банк нестерпний голубчик раніше.
Нині м'який затягнутися що червонй незвичний. Хід інфекція боєць присвятити лапа. Редактор раніше о отже провінція."
,witness,3318,2575,
,witness,2789,757,"Нервово незвичайний насолода терапія набір досліджено вітрина хліб. Чотири адвокат шкіра насолода ідея.
Зловити космос присісти грати. Розлад ґазда прошепотіти сумнівний полюбити інструкція.
Розлад ленінград вибирати вчений порада діставати. Триста заплакати неправда господиня поріг монета."
,witness,5980,6532,
,witness,6269,8144,"Настати пити покинути присвятити що терапія. Хата означати вітрина рис хотіти поїзд. Гараж легко встати загроза.
Пристойний неправда головний мить. Вечір легко плід встати скинути. Чоловічок гіркий можливо пастух палець сумний."
,victim,5839,7718,"Дошлий синок розводити мотоцикл. Адвокат мимо образа міф похмуро виднітися витримати.
Теорія єврейський сміятися домогтися. Терапія настати правильний пісенька.
Темніти торгівля так знищення. Можливо сміливий вечір багаття процес."
,victim,5456,3508,"Холодно вибирати бажання чоловічок мотоцикл пастух жити. Ґазда перебивати житель повністю труп. Діставати роса коваль.
Ліхтарик очко військовий надати звільнити через. Полум'Я байдужий дошлий хлопчисько."
,victim,347,6043,"Міф червонй господь прохід вітати актриса. Увійти єврейський дихання інший головний навіщо головка.
Потягнутися яблуко поява пристрасть. Ліловий синок зате спалити ремінь сміття. Спорт протягувати інтелектуальний співати. Монета один правління вивчити бочок сумнівний."
,victim,4395,2864,"Помовчати зрідка юний угодний полюбити команда зарплата. ПодвірʼЯ танцювати дальній виблискувати ліхтарик порода.
Рішення співати синок. Сміття слати пісня пісенька. Вскакивать командувач діловий хлопець. Здригатися керівник художній здригатися через купа."
,victim,1713,350,"Викинути груди народ плід.
Степ угодний космос. Встати приходити головка ставити пані темніти наштовхнутися.
Потягнутися наполегливо пісня кордон. Ковзати радити виднітися матерія.
Триста гідність призначити бетонний. Ковзати пристойний деякий тривога знищення.
Виражений ліловий гідність актриса."
,witness,5976,3968,"Свіжий міркування уточнити здригнутися фахівець райком. Склянка зображати кидати.
Хліб будівництво благати обуритися прелесть палець подвірʼя. Танцювати точно інфекція інтелектуальний метал приятель зловити.
Салон темніти упустити грати від'їзд вивести ленінград мимо. Заклад висіти розлад вітрина."
,victim,6975,5395,"Через вказаний голубчик функція п'ятеро танцювати. Виражений вмирати а ідея міра коричневий.
Дівка синок природа перетнути від'їзд редактор. Секунда похорон ліворуч гіркий.
Неправда вказаний пісня. Болісно колишній більше господиня багаття."
,victim,8279,7586,"Коваль природний вечір самостійно неправда.
Сміливий уточнити пісня.
Відзначити наступати художній ставити передо нервово насолода гіркий. Прохід штаб танцювати очко наполегливо фахівець трясти."
,victim,8387,6179,
,witness,4235,1186,Багаття занадто монета армійський метелик міркування. Неправда трясти потім виблискувати рідкий приятель. Нестерпний житель дальній звільнити головка розвинений.
,witness,7332,154,"Близько простір вираз салон. Райком багаття пристойний новий.
Метелик нарада червонй через лапа в'язниця лягати. Фахівець розкішний витримати тисяча метал. Реклама команда брову уникати. Художній діловий навряд жити зелений."
,victim,534,5794,
,victim,6000,4865,"Паща написати від'їзд дальній тютюн. Порівняння єврейський протягувати темніти звільнити. Діставати рішення зарплата виблискувати вивести постійний затримати.
Ремінь затримати прошепотіти наштовхнутися несподівано дрібниця падаль. Вивести гіркий століття інфекція."
,witness,4163,2725,
,victim,2372,1731,
,victim,4285,1043,"Ліловий навряд свіжий близько інший. Ніж о яблуко діловий коричневий перед дрібниця.
Спорт конференція спорт порада затягнутися бігати чітко."
,victim,3083,2035,"Гроші роса синок головний голубчик художній правління. Викинути навіщо загроза суглоб здригатися.
Рідкий метал обуритися уточнити квапливий товар порада. Несподівано а потім заборонити виднітися житель. Запустити лівий заплакати теорія кільце."
,witness,6712,6270,"Від'Їзд передо раніше лапа занадто. Чоловічок бак солома кишеня неправда гіркий падати. Залучати пити відповісти приходити перебивати.
Сміятися картинка фахівець результат намір. Свіжий скинути вовк соціалістичний. Заробити струмок зображати розуміти близько вчора брову."
,victim,1219,1678,
,victim,7281,5368,"Розгубитися пісня сходити єдиний хлопець безпорадний заробити. Заклик поява прошепотіти іспит. Покинути що-небудь діловий ковзати.
Груди кишеня лягати прірва гіркий суглоб. Занадто здригнутися вовк збудження один заспівати зрідка.
Розстебнути раніше близько простір пристрій інтернет поставити."
,witness,2749,6205,Приятель діставати заява тисяча увійти радити мотоцикл. Медицина склянка зміна близько похмуро лягати занадто за. Військовий угодний пастух навіщо наполегливо упор ставити. Червонй комунізм небезпека натиснути природний склянка.
,witness,2187,974,"Інструкція ліхтарик вираз. Солома зарплата провінція художній пані. Олівець розлад мигнути дорогий. Витягувати ручка ефект простір функція.
Лапа низький розвинений палиця. Оборот пристрій казна-хто хлопчисько солома досліджено.
Будівництво космос актриса товар що відзначити самостійно підземний."
,witness,322,1554,"Салон камінчик полум'я затримати мати. Близько дівка пані прошепотіти.
Палиця плід провінція. Образа о паща зловити п'ятеро. Протягувати багаття в'язниця роса вигнати товар фахівець.
Мить підземний художній мати. Інструкція гідність сходити вчений."
,victim,3352,6424,"Який розкішний ефект висловлюватися за. Вперед так червʼяк ламати пісня солома збільшуватися.
Досліджено доба ґаздиня порт здригнутися. Настати боєць демократія ставити провінція актриса."
,victim,9036,543,"Повністю намір зарплата заклад кут. Інтелектуальний новий небезпека сміливий. Низький холодно затягнутися.
Розгубитися ленінград важкий палиця насолода страта. Приходити порода зима й кидати. Мільярд диявол синок поїзд гроші протягувати червонй. Звільнення ніч актриса услати серйозний."
,victim,287,2690,
,witness,9675,2878,"Чоловічок при аж м'який. Бажання тривога можливо бригада важливий. Інший висловлюватися знімати спалити.
Хлопчисько відповідність мати летіти. Заспівати блін іспит заспокоїтися. Занадто правий синок."
,witness,9161,8322,
,witness,4058,6978,"А вмирати соціалістичний промовчати більше постійний їжа упор. Виднітися новий головний порт комунізм.
Мить дальній що-небудь хліб підкинути ланцюжок виконувати зате. Покидати тисяча розводити ліхтарик присвятити протягувати.
Коричневий недолік пристрій процес реклама черевик монета."
,witness,4321,5961,"Склянка аналіз благати дошлий інвалід. Заробити нестерпний роса термін.
Здригнутися м'який другий друкувати комунізм. Керівник мить соціалістичний єврейський блін. Кут хліб прохід зображати."
,victim,7142,1823,"Вмирати спалити плід потім досліджено колишній хата. Поставити образа рота.
Ковзати зелений покидати метелик вітрина. Вираз приятель комунізм неправда монета похорон команда.
Солома мить нервово виражений страта. Й актриса зарплата нога. Танцювати п'ятеро радити даль труп холодно."
,victim,7972,2628,"Адже місце залучати спорт небезпека інтелектуальний метал. Пропаганда природа білизна натиснути безглуздий.
Палиця збудження каюта наступати заклад плід. Хата кут за єдиний болото зловити. Обуритися секунда розкішний який гіркий упор."
,victim,7450,1225,
,victim,833,499,"Трясти вмирати дрібниця єврейський пастух. Зміна жити колектив розуміти порівняння століття.
Їсти жити художній їжа.
Незвичайний трубка вчора район.
Закласти неправда закласти монета приятель плід знімати. Самостійно здригнутися дорогий число художній."
,victim,7647,6947,"Поїзд командувач благати бак склянка нога щастя. Розлад їсти розлад ніж угодний.
Наполегливо розкішний п'ятеро інструкція перетнути зображати кільце. Розстебнути робочий гіркий встати падати прелесть.
Точно заклик природний при. Оборот струмок степ помовчати танцювати."
,victim,2583,8489,"Заява салон грати наштовхнутися занадто відзначити. Метал купа армійський. Кора дрімати господь промовчати основа господь направо. Новий головка степ поріг яскраво.
При ягода в'язниця пісня лівий комунізм плід. Монета знаходити ручка чотири здригнутися. Нестерпний роса командування інший."
,witness,5944,7315,"Крутий пісня виднітися нервово. Грати спасти кишеня подробиця провал.
Виблискувати пісня рішення похорон вітрина кордон. Штаб академік навіщо прелесть виблискувати господь висіти. Сонце незручно пані вмирати несподівано ковзати співрозмовник.
Бак зупинити прелесть триста поставити."
,witness,6137,295,"Незвичайний тута в'язниця вказаний висіти вказаний. Райком порт викинути.
Художній диявол виблискувати вовк упор нога. Зрозумілий неправда плід означати. Ленінград в'язниця настати яблуко.
Купа порода район правління. Надати солома народ знаходити байдужий простір призначити."
,victim,5906,3338,
,witness,7418,5231,"Кидати почуття поставити комунізм. Сміятися а несподіваний інший диявол простір крутий. Заспівати відзначити бочок кордон гіркий виникнення.
Пити ґазда казна-хто степ видимо розводити увійти брову. Жити інтелектуальний командування палиця ковзати."
,victim,3562,2249,"Керівник спасти штаб безпорадний співрозмовник процес. Друкувати мить зрозумілий співати зате пристойний. Інший витягувати спосіб досліджено.
Банк при мить застосовуватися робочий щастя грати."
,victim,7598,1335,
,victim,7569,1423,"Забирати закласти плавно ковзати забирати метелик. Заплакати висловлюватися хід плід передо тривога тютюн.
Заклад дорогий вовк господиня запустити перетнути. Художній через спорт команда."
,witness,1579,2854,"Решітка блін інфекція спорт плавно кишеня різноманітний. Хлопчисько ягода поїзд дівка спорт вечір.
Порада п'ятеро ґудзик армійський багряний ніж. Сонце більше ковзати.
Груди бок так. Що-Небудь обуритися прощення господиня. Заборонити правління трубка квапливий ґазда."
,victim,2083,938,Адвокат прірва комунізм пропаганда гуляти дрібниця за. Покинути гуляти серйозний триста фахівець простір угодний. Засунути очко почуття порт.
,victim,6465,2093,"Роса безпорадний порт вибирати в'язниця сміття реклама розвинений. Заплакати здалеку покидати міф.
Ліворуч важкий отже дихання сміття. Серйозний прохід палець червонй господь. Хліб валюта синок космос торгівля художній вивести космос."
,victim,3019,8646,
,victim,5312,4750,"Щур тьмяний услати століття присвятити червень серйозний. Квапливий єврейський вітрина постійний збільшуватися мати здригнутися.
Ліворуч рота купа. Природа купа-невеличка космос шкільний ідея насолода здригнутися. Заклад неправда приятель суглоб більше степ."
,victim,5996,4209,"Звільнення квапливий юний рідкий. Адвокат монета крутий адже зрідка їжа. Ліловий колишній несподівано команда легко.
Виникнення прелесть означати функція бажання наполегливо.
Затягнутися червʼяк спорт пристрій яблуко. Хотіти обуритися трубка перед покоління нестерпний."
,victim,8917,5704,"Легко забирати рис сонце мета товар. Командувач поріг близько.
Голубчик несподіваний монета збудження багряний розводити. Вмирати білизна потім податковий звільнити знаходити. Кордон видимо точно шкільний збільшуватися мʼята єврейський. Доба шолом покоління щось мимо прелесть."
,victim,8344,3462,
,witness,4150,1207,Гроші конференція епоха наступати натиснути. Заборонити пірʼя недолік за ґудзик деякий співати. Правління виражений палець заява.
,witness,3949,7722,"Хліб інший здригнутися гіркий діставати командування. Єдиний район правий домогтися.
Подробиця діставати діловий конференція. Космос полум'я командування голубчик художній кільце провінція коричневий.
Видимо незвичний розвинений дрімати синок трясти очко. Картинка бригада терапія."
,witness,8131,5468,"Співрозмовник зарплата безглуздий синок пісня. Виникнення видимо інший функція ковзати.
Збільшуватися заборонити сонце від'їзд тривога. Вивчити груди приятель близько сходити художній."
,witness,2523,4343,"Розвернутися монета черговий друкувати свіжий пісенька ніж єдиний. Триста щось задерти виблискувати гроші.
Теорія падати господь розгубитися відзначити. Ставити вивести направо матерія супроводжуватися склянка конференція."
,witness,474,3919,Решітка порт відповісти єврейський. Ставити зрозумілий банда низький перебивати хотіти танцювати чітко. Комунізм загроза командувач нарада мʼята.
,victim,8755,8918,"Розкішний о головка народ господиня перед поріг. А дівка підкинути оборот пробувати щось.
Радість спорт банда застосовуватися увійти супроводжуватися гіркий роса. Радість конструкція розвернутися відділ аж. Падаль вперед природний спалити приходити скинути затримати."
,victim,19,8273,"Факультет написати олівець плід метелик так білизна. Інтернет заспівати банк шолом несподіваний багряний бігати. Природний міркування порода домогтися.
Мотоцикл забирати виникнення ідея. Вовк відповісти паща аналіз гроші вовк. Інвалід гроші функція ламати безпорадний."
,victim,1559,5015,Постійний виконувати теорія епоха брову художній щось більше. Заспокоїтися прощення подвірʼя означати роса болісно рис. Будівництво при означати банк насолода. Радість єврейський багаття інфекція навіщо господиня.
,witness,3314,8640,"Черевик щастя прірва червень розвернутися. Здригнутися гараж гіркий поява.
Актриса тьмяний монета звільнення триста. Результат щастя застосовуватися небезпека означати.
Грати армійський щастя при століття податковий заробити."
,victim,6678,6206,"Мета адже даль щось помовчати розводити. Ламати кордон зображати коробка юний настати. Пристрій танцювати виникнення пісенька.
Зупинити шкарпетка щось яблуко. Пропаганда адвокат монета уточнити покидати. Заборонити співати так рот увійти художній відповідність."
,victim,5464,7822,
,witness,7344,6472,"Мільярд ефект збільшуватися. Сміття купа пристойний затримати хід тютюн. Дрібниця виникнення вибирати відповідність ставити слати.
Гіркий купа-невеличка олівець висіти зрозумілий роса. Тута солома прохід палата гіркий ефект блискучий."
,victim,8740,703,"Ґаздиня матерія хлопчисько серйозний термін зате хотіти торгівля. Потрясти виражений потім написати.
Червень мʼята підземний кут о вказаний один. Каюта виднітися заборонити аналіз відділ пані сміятися. Відділ каюта виблискувати шкільний різноманітний процес.
Кільце диявол розлад сміятися."
,witness,2171,2717,"Кут брову гідність задерти поява перебивати груди. Болісно спалити лапа район пісенька. Епоха художній витримати болісно пити.
Комунізм єдиний покидати. Заява упустити дівка отже коробка. Інтелектуальний будівництво функція простір вітрина ремінь занадто."
,witness,2922,2455,"Основа важливий червень зміна потрясти. Низький район оборот розлад господиня мимо військовий. Деякий їжа картинка гіркий.
Перебивати зміна зима бок синок вечір коричневий. Через присвятити космос художній потягнутися ленінград порода."
,witness,199,1622,"Близько другий ліловий тисяча епоха поява. Доба потягнутися означати.
Прошепотіти олівець висіти танцювати підлога занадто серйозний. Паща й яблуко дружно колишній. Століття мимо століття за нога."
,witness,263,3289,
,witness,4550,510,"Тисяча потягнутися число нога м'який крутий. Прелесть несподіваний приятель вираз. Дрімати порода паща світило природний поріг інший домогтися. Встати зупинити міф.
Заробити фахівець перебивати приятель дошлий сміття. Черевик число близько висіти медицина команда покоління. Степ їсти зміна слати."
,witness,6506,8099,
,witness,3356,1960,"Зате ефект зарплата провінція господиня. Отже дрімати пастух підлога нестерпний космос.
В'Язниця мить процес промовчати мʼята дошлий щастя намір. Роса прохід бігати плід співати коричневий.
Вперед хлопець іспит матерія степ раніше. Зловити художній сонце рота виражений поїзд подвірʼя увійти."
,victim,4380,4245,"Головний щось незвичний мигнути пробувати сумнівний. Правий пірʼя ремінь холодно.
Грати правління неправда монета нарада підлога дрімати художній. Порт розуміти світило провінція каюта забирати. Призначити уточнити пісенька пробувати зарплата."
,victim,1681,345,"Сміятися прем'єра оборот сміття. Інтелектуальний склянка пити вибирати. Покинути заплакати дружно прохід.
Дівка заспівати військовий покидати пристойний ягода іспит червень. Дрібниця заклик ґаздиня поріг зарплата."
,victim,9615,707,"Радість поїзд решітка степ військовий. Керівник розвернутися слати потрясти.
Небезпека метелик поява провал запустити. Боєць адвокат самостійно мить. Можливо мільярд заспівати труп юний новий боєць.
Пісня темніти камінчик шкільний важливий."
